City,Country,Country ID,Longitude,Latitude,Temperature Max,Humidity,Cloudiness,Windspeed
Port Lincoln,AU,2063036,135.86,-34.72,25.65,63,8,3.72
Jatiroto,ID,1643920,109.46,-7.61,29.8,86,8,3.92
Lewistown,US,4899665,-90.15,40.39,10.0,66,90,3.6
Airai,TL,1651810,125.41,-8.93,27.2,60,36,1.17
Karak,JO,250625,35.7,31.18,12.0,71,40,3.1
Puerto Ayora,EC,3652764,-90.35,-0.74,26.67,93,36,2.47
Khandagayty,MN,1503796,92.07,50.73,9.9,56,76,1.52
Bluff,AU,2175403,149.07,-23.58,30.65,38,48,6.12
Tasiilaq,GL,3424607,-37.64,65.61,-4.0,92,0,5.1
Longyearbyen,NO,2729907,15.63,78.22,-12.0,85,90,3.1
Vao,EE,588365,26.19,59.1,2.0,74,0,3.12
Kyren,RU,2021031,102.13,51.68,1.55,65,88,0.72
Arica,CL,3899361,-70.32,-18.48,21.0,68,0,3.1
Mataura,NZ,6201424,168.86,-46.19,12.22,68,88,4.02
Kaitangata,NZ,2208248,169.85,-46.28,10.56,74,100,3.13
Henderson,US,5505411,-114.98,36.04,22.0,22,1,3.6
Erzincan,TR,315372,39.49,39.75,6.11,81,90,4.1
Severo-Kurilsk,RU,2121385,156.12,50.68,1.2,93,92,2.62
Kamenka,RU,553725,44.05,53.19,-0.11,97,92,6.37
Bredasdorp,ZA,1015776,20.04,-34.53,18.0,77,80,3.1
Muros,ES,3115824,-9.06,42.77,6.67,100,40,1.5
Sistranda,NO,3139597,8.83,63.73,2.78,93,40,1.5
Hilo,US,5855927,-155.08,19.71,24.0,69,75,3.6
Thompson,CA,6165406,-97.86,55.74,-14.0,65,40,1.0
Klyuchi,RU,1503153,79.17,52.25,10.7,60,8,3.02
Tabou,CI,2281120,-7.36,4.42,27.45,100,12,4.22
Darnah,LY,87205,22.64,32.77,15.1,100,8,2.92
Punta Arenas,CL,3874787,-70.91,-53.16,6.0,70,0,18.0
Kruisfontein,ZA,986717,24.73,-34.0,17.45,74,44,7.87
